unique_id,ds,y,y_hat_naive2
M1,2009-02-28,8720.0,7316.617607998528
M1,2009-03-31,7790.0,7246.329260920669
M1,2009-04-30,4770.0,6294.279693273115
M1,2009-05-31,5060.0,5918.049712158336
M1,2009-06-30,4720.0,5562.812279664467
M1,2009-07-31,4450.0,5312.058640141807
M1,2009-08-31,5120.0,6050.325155351178
M1,2009-09-30,5960.0,5599.34916011777
M1,2009-10-31,6560.0,5473.832438818213
M1,2009-11-30,4900.0,5023.564209874672
M1,2009-12-31,4520.0,5364.939688590435
M1,2010-01-31,7370.0,6890.0
M1,2010-02-28,9050.0,7316.617607998528
M1,2010-03-31,7780.0,7246.329260920669
M1,2010-04-30,5380.0,6294.279693273115
M1,2010-05-31,4700.0,5918.049712158336
M1,2010-06-30,4490.0,5562.812279664467
M1,2010-07-31,4010.0,5312.058640141807
M10,2000-07-31,6560.0,6599.863702336639
M10,2000-08-31,6490.0,6639.753419632181
M10,2000-09-30,6390.0,6625.382457889424
M10,2000-10-31,6340.0,6608.368068933936
M10,2000-11-30,6210.0,6626.981318362489
M10,2000-12-31,6070.0,6667.82102159796
M10,2001-01-31,5890.0,6631.516037968618
M10,2001-02-28,5720.0,6607.735682247926
M10,2001-03-31,5630.0,6622.171102460453
M10,2001-04-30,5530.0,6612.4743482408285
M10,2001-05-31,5370.0,6634.803728922944
M10,2001-06-30,5330.0,6630.0
M10,2001-07-31,5260.0,6599.863702336639
M10,2001-08-31,5310.0,6639.753419632181
M10,2001-09-30,5280.0,6625.382457889424
M10,2001-10-31,5350.0,6608.368068933936
M10,2001-11-30,5450.0,6626.981318362489
M10,2001-12-31,5450.0,6667.82102159796
M100,1994-05-31,2211.2,2180.6748960641307
M100,1994-06-30,2262.5,2196.689215855785
M100,1994-07-31,2247.3,2193.288984691801
M100,1994-08-31,2236.2,2188.566998032166
M100,1994-09-30,2246.4,2184.492603395395
M100,1994-10-31,2219.2,2176.694948713606
M100,1994-11-30,2219.0,2169.5985841042434
M100,1994-12-31,2222.2,2160.2631608892416
M100,1995-01-31,2218.0,2152.7741793522537
M100,1995-02-28,2203.8,2143.923763986275
M100,1995-03-31,2231.2,2157.7752727389
M100,1995-04-30,2275.2,2167.0
M100,1995-05-31,2299.2,2180.6748960641307
M100,1995-06-30,2312.5,2196.689215855785
M100,1995-07-31,2327.1,2193.288984691801
M100,1995-08-31,2332.6,2188.566998032166
M100,1995-09-30,2321.6,2184.492603395395
M100,1995-10-31,2331.9,2176.694948713606
M101,1990-05-31,2324.2,2320.220784100788
M101,1990-06-30,2313.8,2329.3126901743244
M101,1990-07-31,2329.5,2333.370256057431
M101,1990-08-31,2350.0,2329.6157329355324
M101,1990-09-30,2365.2,2322.9979038107813
M101,1990-10-31,2359.9,2305.1205514589774
M101,1990-11-30,2350.0,2293.5954343065428
M101,1990-12-31,2363.0,2275.0898753987226
M101,1991-01-31,2375.6,2254.5718804716935
M101,1991-02-28,2399.6,2244.891258915066
M101,1991-03-31,2450.1,2260.8676344898095
M101,1991-04-30,2469.4,2295.3
M101,1991-05-31,2468.3,2320.220784100788
M101,1991-06-30,2437.1,2329.3126901743244
M101,1991-07-31,2423.1,2333.370256057431
M101,1991-08-31,2415.1,2329.6157329355324
M101,1991-09-30,2441.0,2322.9979038107813
M101,1991-10-31,2442.1,2305.1205514589774
M102,1990-05-31,15920.0,17154.5120153232
M102,1990-06-30,15950.0,17666.03432662586
M102,1990-07-31,15190.0,17908.380378071277
M102,1990-08-31,15680.0,17552.101171500068
M102,1990-09-30,14530.0,16695.189628022574
M102,1990-10-31,14050.0,15887.967032328183
M102,1990-11-30,13590.0,14830.244187893413
M102,1990-12-31,13050.0,14578.635432601555
M102,1991-01-31,10530.0,12754.792952351645
M102,1991-02-28,9300.0,11860.790316702642
M102,1991-03-31,10120.0,12811.178308640245
M102,1991-04-30,12480.0,14979.999999999998
M102,1991-05-31,14380.0,17154.5120153232
M102,1991-06-30,14650.0,17666.03432662586
M102,1991-07-31,14710.0,17908.380378071277
M102,1991-08-31,14680.0,17552.101171500068
M102,1991-09-30,14110.0,16695.189628022574
M102,1991-10-31,13800.0,15887.967032328183
M103,1983-12-31,3250.0,3197.529763936807
M103,1984-01-31,2980.0,3234.485660107654
M103,1984-02-29,2688.0,3221.1760693341676
M103,1984-03-31,2631.0,3090.390664874565
M103,1984-04-30,2549.0,2930.952303631789
M103,1984-05-31,2550.0,2823.7074005710683
M103,1984-06-30,2379.0,2900.9307990946495
M103,1984-07-31,2273.0,3055.9287601650617
M103,1984-08-31,2231.0,3057.7587049337876
M103,1984-09-30,2222.0,3049.2664805954428
M103,1984-10-31,2209.0,3092.6762708887377
M103,1984-11-30,2200.0,3144.0
M103,1984-12-31,2174.0,3197.529763936807
M103,1985-01-31,2154.0,3234.485660107654
M103,1985-02-28,2342.0,3221.1760693341676
M103,1985-03-31,2250.0,3090.390664874565
M103,1985-04-30,2415.0,2930.952303631789
M103,1985-05-31,2512.0,2823.7074005710683
M104,1981-08-31,1813.0,1810.2421063654097
M104,1981-09-30,1813.0,1809.4810436303399
M104,1981-10-31,1751.0,1809.6885347460623
M104,1981-11-30,1751.0,1805.649436919015
M104,1981-12-31,1751.0,1806.2555716735897
M104,1982-01-31,1751.0,1804.7357361017928
M104,1982-02-28,1751.0,1808.1216237326269
M104,1982-03-31,1767.0,1821.9832722563838
M104,1982-04-30,1765.0,1816.8131984798035
M104,1982-05-31,1737.0,1819.1835280256093
M104,1982-06-30,1737.0,1813.0240085721357
M104,1982-07-31,1737.0,1812.9999999999998
M104,1982-08-31,1737.0,1810.2421063654097
M104,1982-09-30,1737.0,1809.4810436303399
M104,1982-10-31,1737.0,1809.6885347460623
M104,1982-11-30,1737.0,1805.649436919015
M104,1982-12-31,1737.0,1806.2555716735897
M104,1983-01-31,1737.0,1804.7357361017928
M105,2005-02-28,2592.0,2586.7339581037922
M105,2005-03-31,2585.0,2586.480910383778
M105,2005-04-30,2597.0,2579.086741084344
M105,2005-05-31,2573.0,2579.3061937742605
M105,2005-06-30,2576.0,2578.4791725081564
M105,2005-07-31,2573.0,2573.75866428333
M105,2005-08-31,2599.0,2591.762829975512
M105,2005-09-30,2605.0,2598.732472379344
M105,2005-10-31,2605.0,2598.8032849556657
M105,2005-11-30,2661.0,2599.208049997012
M105,2005-12-31,2663.0,2594.3070303013196
M105,2006-01-31,2653.0,2591.0
M105,2006-02-28,2652.0,2586.7339581037922
M105,2006-03-31,2654.0,2586.480910383778
M105,2006-04-30,2668.0,2579.086741084344
M105,2006-05-31,2631.0,2579.3061937742605
M105,2006-06-30,2634.0,2578.4791725081564
M105,2006-07-31,2639.0,2573.75866428333
M106,1976-02-29,1230.0,1225.0
M106,1976-03-31,1228.0,1225.0
M106,1976-04-30,1243.0,1225.0
M106,1976-05-31,1230.0,1225.0
M106,1976-06-30,1232.0,1225.0
M106,1976-07-31,1232.0,1225.0
M106,1976-08-31,1246.0,1225.0
M106,1976-09-30,1247.0,1225.0
M106,1976-10-31,1247.0,1225.0
M106,1976-11-30,1297.0,1225.0
M106,1976-12-31,1297.0,1225.0
M106,1977-01-31,1278.0,1225.0
M106,1977-02-28,1278.0,1225.0
M106,1977-03-31,1282.0,1225.0
M106,1977-04-30,1300.0,1225.0
M106,1977-05-31,1262.0,1225.0
M106,1977-06-30,1262.0,1225.0
M106,1977-07-31,1264.0,1225.0
M107,1984-02-29,2161.0,2169.1645855517763
M107,1984-03-31,2161.0,2165.5599028013085
M107,1984-04-30,2162.0,2155.590672870965
M107,1984-05-31,2162.0,2150.243052167376
M107,1984-06-30,2161.0,2143.679187264955
M107,1984-07-31,2172.0,2143.984815158605
M107,1984-08-31,2278.0,2178.4326069004637
M107,1984-09-30,2286.0,2174.9260432478704
M107,1984-10-31,2286.0,2169.993886133699
M107,1984-11-30,2289.0,2165.6933239893933
M107,1984-12-31,2290.0,2164.7116849122276
M107,1985-01-31,2320.0,2160.0
M107,1985-02-28,2325.0,2169.1645855517763
M107,1985-03-31,2335.0,2165.5599028013085
M107,1985-04-30,2337.0,2155.590672870965
M107,1985-05-31,2343.0,2150.243052167376
M107,1985-06-30,2344.0,2143.679187264955
M107,1985-07-31,2347.0,2143.984815158605
M108,1984-02-29,2311.0,2309.3282032005363
M108,1984-03-31,2309.0,2304.0325353143867
